step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0,0
5.0,0,0.0,0.0,5.839764694970412,0,12,0,0.0,0.42997282394272457,0,0.0,12,12
10.0,0,0.0,0.0,11.192205286155454,0,14,0,0.0,0.8300227454294639,0,0.0,14,26
15.0,0,0.0,0.0,8.559740985791052,0,18,0,0.0,0.5967848697112967,0,0.0,16,42
20.0,6,15.0,0.625,5.450895252861939,0,24,6,15.0,0.3429039353406024,6,15.0,20,62
25.0,12,45.0,1.6071428571428572,5.474842028790813,0,28,12,51.0,0.33380666021332694,12,51.0,21,83
30.0,10,89.0,3.1785714285714284,6.707006550122044,2,28,10,89.0,0.37651894839337174,10,89.0,16,99
35.0,8,102.0,3.4,7.045350098443737,2,30,8,114.0,0.342643145069261,8,114.0,12,111
40.0,12,142.0,4.057142857142857,5.583724668134489,9,35,12,142.0,0.3064182483433255,12,142.0,21,132
45.0,10,190.0,5.277777777777778,7.612391710620266,10,36,10,190.0,0.41775096515801796,10,190.0,18,150
50.0,12,250.0,6.756756756756757,5.852169786435492,13,37,12,250.0,0.32474429254802145,12,250.0,23,173
55.0,19,188.0,5.081081081081081,4.317607212886145,18,37,19,256.0,0.2193776634363284,19,256.0,27,200
60.0,15,257.0,7.138888888888889,5.958291686441634,20,36,15,259.0,0.3043547073827314,15,259.0,20,220
65.0,13,230.0,5.75,5.4570981557885085,22,40,13,292.0,0.23976689005455412,13,292.0,21,241
70.0,12,251.0,6.605263157894737,6.80318594003246,26,38,12,264.0,0.31165444138134824,12,264.0,16,257
75.0,15,317.0,7.5476190476190474,6.578478124440146,30,42,15,317.0,0.25804767006540685,15,317.0,18,275
80.0,12,308.0,7.162790697674419,6.569769164955818,35,43,12,351.0,0.3423608840227709,12,351.0,23,298
85.0,14,348.0,8.7,6.649122739911971,42,40,14,359.0,0.393403519218863,14,359.0,24,322
90.0,11,383.0,9.575,5.046244957458934,44,40,11,384.0,0.23469768401591173,11,384.0,21,343
95.0,20,468.0,11.414634146341463,5.7063734327889595,47,41,20,469.0,0.24898721276989766,20,469.0,19,362
100.0,17,171.0,4.071428571428571,4.799945771798977,52,42,17,397.0,0.2476390847325338,17,397.0,28,390
105.0,18,164.0,4.1,5.321785538733964,56,40,18,251.0,0.272351052444983,18,251.0,25,415
110.0,17,227.0,5.044444444444444,4.270713917636955,58,45,17,293.0,0.18523066040922134,17,293.0,28,443
115.0,22,329.0,7.0,5.148051659074978,62,47,22,385.0,0.2585566806276862,22,385.0,29,472
120.0,17,272.0,6.044444444444444,6.032068701569744,65,45,17,432.0,0.3245560647941466,17,432.0,27,499
125.0,12,220.0,4.680851063829787,4.865982437397786,69,47,12,394.0,0.2041862921280533,12,394.0,27,526
130.0,19,303.0,6.446808510638298,6.215391016986023,73,47,19,378.0,0.2919045045992152,19,378.0,25,551
135.0,15,207.0,4.404255319148936,4.764798374792717,77,47,15,383.0,0.23230278475646374,15,383.0,29,580
140.0,23,292.0,6.3478260869565215,4.291963560107134,82,46,23,381.0,0.186022509753852,23,381.0,28,608
145.0,29,362.0,7.098039215686274,3.5324782851658196,85,51,29,451.0,0.12395881987681287,29,451.0,33,641
150.0,21,431.0,8.450980392156863,4.912686757029834,89,51,21,513.0,0.2419944202486978,21,513.0,32,673
155.0,21,536.0,10.938775510204081,6.224147555493714,93,49,21,591.0,0.32682556914291494,21,591.0,27,700
160.0,24,470.0,9.215686274509803,4.035206661119052,97,51,24,634.0,0.18147576401372575,24,634.0,32,732
165.0,18,451.0,8.843137254901961,5.058874503105897,100,51,18,582.0,0.20989335966604455,18,582.0,27,759
170.0,19,527.0,10.134615384615385,4.665936980188378,104,52,19,665.0,0.1948127098455574,19,665.0,32,791
175.0,29,646.0,12.92,3.5112861027092634,110,50,29,777.0,0.14684463567029174,29,777.0,36,827
180.0,29,703.0,14.957446808510639,2.8940755016715816,113,47,29,893.0,0.13608460549671286,29,893.0,37,864
185.0,28,811.0,14.745454545454546,3.482323906103884,117,55,28,971.0,0.1831695019918651,28,971.0,44,908
190.0,29,956.0,16.771929824561404,5.453351259991716,117,57,29,1088.0,0.28073902089314395,29,1088.0,35,943
195.0,35,1113.0,19.189655172413794,3.3554657685805913,120,58,35,1245.0,0.13117222674445025,35,1245.0,39,982
200.0,39,1302.0,21.7,2.9111638463255916,124,60,39,1434.0,0.11586483437846758,39,1434.0,42,1024
