step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0,0
5.0,0,0.0,0.0,5.926254919450731,0,12,0,0.0,0.40276825656148024,0,0.0,0,0
10.0,0,0.0,0.0,12.16051458700376,0,14,0,0.0,0.8293015716786335,0,0.0,0,0
15.0,0,0.0,0.0,7.950462984304756,0,18,0,0.0,0.4990588870876841,0,0.0,0,0
20.0,9,27.0,1.125,5.409016336798288,0,24,9,27.0,0.2907125342434287,9,27.0,-9,-9
25.0,12,59.0,2.269230769230769,5.896461817171557,2,26,12,59.0,0.3710829950202916,12,59.0,-12,-21
30.0,12,107.0,3.8214285714285716,5.757343611045818,2,28,12,107.0,0.3306069145591482,12,107.0,-12,-33
35.0,14,164.0,5.857142857142857,4.739015759644768,4,28,14,164.0,0.30137154979304676,14,164.0,-14,-47
40.0,20,236.0,6.2105263157894735,4.090902002512557,6,38,20,236.0,0.18048672052341735,20,236.0,-20,-67
45.0,18,324.0,8.1,6.5139905580959,6,40,18,324.0,0.34864254151017254,18,324.0,-18,-85
50.0,16,288.0,7.2,4.738794405752945,10,40,16,344.0,0.26766245661861876,16,344.0,-16,-101
55.0,26,383.0,8.906976744186046,4.374004572629335,13,43,26,383.0,0.16248990250989975,26,383.0,-26,-127
60.0,26,499.0,12.170731707317072,4.265106005129659,15,41,26,499.0,0.18312261235626742,26,499.0,-26,-153
65.0,29,633.0,14.386363636363637,3.253418415549811,18,44,29,633.0,0.15926241071254837,29,633.0,-29,-182
70.0,28,680.0,16.19047619047619,2.1674512907389722,22,42,28,712.0,0.13952180828082808,28,712.0,-28,-210
75.0,33,835.0,16.7,2.7412973630202737,22,50,33,835.0,0.095620373760661,33,835.0,-33,-243
80.0,28,649.0,11.8,4.074048611157866,22,55,28,871.0,0.19821247408350168,28,871.0,-28,-271
85.0,25,380.0,7.169811320754717,3.994749435662775,27,53,25,775.0,0.19721965037120653,25,775.0,-25,-296
90.0,20,321.0,5.732142857142857,4.3271799612422175,28,56,20,614.0,0.1524160483432803,20,614.0,-20,-316
95.0,17,172.0,3.185185185185185,4.216056736117687,34,54,17,625.0,0.23669733857096437,17,625.0,-17,-333
100.0,15,81.0,1.396551724137931,4.628144810246087,36,58,15,538.0,0.21740288827495005,15,538.0,-15,-348
105.0,20,130.0,2.3214285714285716,4.240487192050421,40,56,20,563.0,0.20311862734083963,20,563.0,-20,-368
110.0,29,256.0,4.338983050847458,2.5951695860519863,44,59,29,689.0,0.07155085859154346,29,689.0,-29,-397
115.0,38,379.0,6.112903225806452,2.8107639190027176,48,62,38,798.0,0.14901154111516182,38,798.0,-38,-435
120.0,30,500.0,8.620689655172415,3.4257953046998835,52,58,30,878.0,0.18352474220494772,30,878.0,-30,-465
125.0,38,669.0,10.453125,2.776692223673671,52,64,38,1047.0,0.11465947895246209,38,1047.0,-38,-503
130.0,48,882.0,13.78125,1.3206828158205661,56,64,48,1260.0,0.04649919376936224,48,1260.0,-48,-551
135.0,50,942.0,14.492307692307692,1.33313909235726,59,65,50,1424.0,0.07577503080836513,50,1424.0,-50,-601
140.0,50,1170.0,16.956521739130434,2.280402361655888,59,69,50,1562.0,0.08152183007156631,50,1562.0,-50,-651
145.0,58,1152.0,15.157894736842104,2.0123732651948387,60,76,58,1644.0,0.03258577702749688,58,1644.0,-58,-709
150.0,45,953.0,13.054794520547945,2.8930682192330033,65,73,45,1584.0,0.12301269753955403,45,1584.0,-45,-754
155.0,36,810.0,11.25,3.466188767180638,68,72,36,1633.0,0.16387541052277574,36,1633.0,-36,-790
160.0,36,736.0,10.666666666666666,2.671858922652032,73,69,36,1817.0,0.11710528511705139,36,1817.0,-36,-826
165.0,42,817.0,11.67142857142857,1.5898634221505954,76,70,42,2010.0,0.062419765971664584,42,2010.0,-42,-868
170.0,55,1060.0,14.722222222222221,0.889883056040135,79,72,55,2255.0,0.05084825644257047,55,2255.0,-55,-923
175.0,56,1236.0,16.263157894736842,0.8186927685179072,80,76,56,2377.0,0.04559324901959432,56,2377.0,-56,-979
180.0,56,1367.0,17.525641025641026,1.2388118850080063,80,78,56,2358.0,0.02676175378481445,56,2358.0,-56,-1035
185.0,54,1542.0,17.930232558139537,1.8497442630784147,80,86,54,2635.0,0.06797545157391745,54,2635.0,-54,-1089
190.0,56,1727.0,20.31764705882353,2.1606082337676376,83,85,56,2908.0,0.10204568402178746,56,2908.0,-56,-1145
195.0,52,1879.0,22.914634146341463,1.4306027903892593,86,82,52,3030.0,0.07027913477023304,52,3030.0,-52,-1197
200.0,52,2088.0,24.857142857142858,1.5219159389015442,88,84,52,3041.0,0.05325779349367144,52,3041.0,-52,-1249
