step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,5.9098746919150775,0,12,0,0.0,0.43661177364719866,0,0.0,0.0,0.0
10.0,0,0.0,0.0,11.613481660530297,0,14,0,0.0,0.8381117231275991,0,0.0,0.0,0.0
15.0,0,0.0,0.0,7.388446164266238,0,18,0,0.0,0.5405589641590669,0,0.0,0.0,0.0
20.0,6,15.0,0.625,5.716220744777371,0,24,6,15.0,0.30469719850102334,6,15.0,-0.15,-0.15
25.0,14,60.0,2.142857142857143,6.033001772925343,0,28,14,60.0,0.33192803484628075,14,60.0,-0.44999999999999996,-0.6
30.0,12,112.0,4.148148148148148,6.0040795717522935,3,27,12,112.0,0.29694124160567814,12,112.0,-0.5200000000000001,-1.12
35.0,10,108.0,4.0,5.745471761524839,5,27,10,140.0,0.34043991451615097,10,140.0,-0.2799999999999998,-1.4
40.0,12,144.0,3.789473684210526,5.65844197150173,6,38,12,148.0,0.2780124208541383,12,148.0,-0.08000000000000007,-1.48
45.0,12,194.0,5.105263157894737,6.873762980784733,8,38,12,198.0,0.3893653704728673,12,198.0,-0.5,-1.98
50.0,15,264.0,6.947368421052632,5.585905598555687,12,38,15,268.0,0.299499784857611,15,268.0,-0.7000000000000002,-2.68
55.0,24,353.0,8.404761904761905,4.173267695614945,14,42,24,357.0,0.14813963846980724,24,357.0,-0.8899999999999997,-3.57
60.0,18,293.0,7.7105263157894735,4.337261949574052,18,38,18,386.0,0.2484344334960885,18,386.0,-0.29000000000000004,-3.86
65.0,18,367.0,8.951219512195122,4.569494322022246,21,41,18,381.0,0.23442771706587204,18,381.0,0.04999999999999982,-3.81
70.0,22,326.0,7.761904761904762,4.37346388980676,22,42,22,431.0,0.18604633857969352,22,431.0,-0.49999999999999956,-4.31
75.0,14,310.0,6.739130434782608,4.764937800719326,26,46,14,418.0,0.2188809069498312,14,418.0,0.1299999999999999,-4.18
80.0,18,394.0,7.88,6.589706003430546,28,50,18,412.0,0.34934287482857884,18,412.0,0.05999999999999961,-4.12
85.0,22,484.0,9.68,6.1763000809572315,32,50,22,494.0,0.29341675861409994,22,494.0,-0.8200000000000003,-4.94
90.0,24,591.0,12.574468085106384,4.547958705165014,37,47,24,601.0,0.16729843558041935,24,601.0,-1.0699999999999994,-6.01
95.0,22,572.0,13.30232558139535,4.200866664749341,43,43,22,673.0,0.20252761010744255,22,673.0,-0.7200000000000006,-6.73
100.0,21,602.0,12.808510638297872,3.712494065716216,47,47,21,661.0,0.16002883600701143,21,661.0,0.1200000000000001,-6.61
105.0,20,701.0,14.604166666666666,6.034933639627796,48,48,20,712.0,0.2797012319694001,20,712.0,-0.5099999999999998,-7.12
110.0,22,808.0,16.16,4.617965138177528,54,50,22,818.0,0.18059102366914498,22,818.0,-1.0599999999999996,-8.18
115.0,28,934.0,17.296296296296298,5.0652513817772,56,54,28,944.0,0.20941541973864547,28,944.0,-1.2599999999999998,-9.44
120.0,22,843.0,17.93617021276596,4.822427033213424,63,47,22,959.0,0.2689609172355528,22,959.0,-0.15000000000000036,-9.59
125.0,27,967.0,19.34,3.766430741530245,66,50,27,967.0,0.1486050969977578,27,967.0,-0.08000000000000007,-9.67
130.0,29,950.0,18.26923076923077,3.689013937384732,68,52,29,1051.0,0.16319248661721836,29,1051.0,-0.8399999999999999,-10.51
135.0,22,972.0,18.692307692307693,4.038629440604027,72,52,22,1076.0,0.19365231474187616,22,1076.0,-0.25,-10.76
140.0,27,1095.0,20.27777777777778,4.743183078452018,74,54,27,1112.0,0.20217505212743922,27,1112.0,-0.35999999999999943,-11.12
145.0,36,1235.0,20.93220338983051,4.198207639012139,77,59,36,1235.0,0.14992706544157464,36,1235.0,-1.2300000000000004,-12.35
150.0,31,1383.0,23.844827586206897,4.477034327696004,82,58,31,1383.0,0.18398741116621556,31,1383.0,-1.4800000000000004,-13.83
155.0,29,1435.0,26.574074074074073,4.464509953258328,88,54,29,1482.0,0.22324682615780705,29,1482.0,-0.9900000000000002,-14.82
160.0,37,1600.0,29.09090909090909,3.2228077742551475,93,55,37,1600.0,0.11455579485330047,37,1600.0,-1.1799999999999997,-16.0
165.0,35,1761.0,30.362068965517242,3.5407620705338223,94,58,35,1765.0,0.13203534946716838,35,1765.0,-1.6499999999999986,-17.65
170.0,38,1941.0,34.660714285714285,2.98481005547152,100,56,38,1941.0,0.1158326116807776,38,1941.0,-1.7600000000000016,-19.41
175.0,42,2137.0,36.220338983050844,3.1072654326161975,101,59,42,2137.0,0.11390291138841814,42,2137.0,-1.9600000000000009,-21.37
180.0,43,2345.0,41.875,2.5884113506129234,104,56,43,2345.0,0.07983635702164987,43,2345.0,-2.0799999999999983,-23.45
185.0,44,2544.0,40.38095238095238,2.463091429764237,109,63,44,2544.0,0.10981510052918596,44,2544.0,-1.990000000000002,-25.44
190.0,44,2764.0,43.1875,2.6933512698104995,110,64,44,2764.0,0.14217909981464594,44,2764.0,-2.1999999999999993,-27.64
195.0,50,3003.0,46.2,1.7879265086065261,113,65,50,3003.0,0.10514327587452549,50,3003.0,-2.3900000000000006,-30.03
200.0,52,3258.0,46.542857142857144,1.844786882314435,114,70,52,3258.0,0.08178108780354608,52,3258.0,-2.549999999999997,-32.58
